titre;auteur;genre;isbn;editeur;date_publication;nb_pages
L'historienne et Drakula, Tome 1 :;Elizabeth KOSTOVA;;9782845632288;Pocket;23/02/2006;492
L'historienne et Drakula, Tome 2:;Elizabeth KOSTOVA;;9782845632288;Pocket;23/02/2006;492
L'Ange de Bagdad;Paul-Loup SULITZER;Fiction;9782846123365;Le Livre de Poche;03/03/2004;300
Le Chœur des femmes;Martin WINCKLER;Fiction;9782846823739;Folio;;606
Le temps des orages [02] : Les lupins sauvages [01];Charlotte LINK;;9782846940870;Le Livre de Poche;01/01/2003;421
La forêt des ombres;Franck THILLIEZ;Fiction;9782847422184;Pocket;;394
American Dirt;Jeanine CUMMINS;Literary Collections;9782848768298;43374;;430
Le collier de Jérusalem;Belva PLAIN;;9782856165942;Pocket;01/01/1991;432
Water Music;T. Coraghessan BOYLE;;9782859405311;Libretto;;736
Les Salauds devront payer;Emmanuel GRAND;Fiction;9782867468018;Le Livre de Poche;;384
Trilogie new-yorkaise : Cité de verre - Revenants - La Chambre dérobée;Paul AUSTER;;9782868696946;Actes Sud;25/06/1991;448
La Voie de l'ennemi;Tony HILLERMAN;;9782869303973;Rivages;03/09/1990;228
Prisonniers du ciel;James Lee BURKE;;9782869305649;Rivages;19/03/2003;352
Les émois d'un marchand de café;Yves BEAUCHEMIN;;9782877063524;Editions de Fallois;01/09/1999;364
LES DERNIERS JOURS DE NOS PERES POCHE;Joël DICKER;;9782877068963;Editions de Fallois;11/03/2015;456
Jean de Florette;Marcel PAGNOL;Fiction;9782877069045;Le Livre de Poche;24/11/2014;290
Nuit sur la ville;Ryô HARA;;9782877306560;Editions Philippe Picquier;17/06/2003;396
Fakirs;Antonin VARENNE;Fiction;9782878585162;Points;;287
Sans feu ni lieu;Fred VARGAS;Fiction;9782878586374;J'ai Lu;;272
Homme aux cercles bleus;Fred VARGAS;Fiction;9782878586398;J'ai Lu;;218
L'Homme à l'envers;Fred VARGAS;Fiction;9782878586411;J'ai Lu;;305
Un peu plus loin sur la droite;Fred VARGAS;Fiction;9782878586435;J'ai Lu;;257
Sous les vents de neptune;Fred VARGAS;Fiction;9782878586879;J'ai Lu;;450
Une voix dans la nuit;Armistead MAUPIN;;9782879292724;Points;01/01/2001;407
Les enfants de Venise;Luca DI FULVIO;Fiction;9782889440382;Le Livre de Poche;12/05/2017;800
